Transaction ID,Date,Month,Product Category,Product Name,Units Sold, Unit Price , Total revenue ,Region,Payment Method
10084,24/03/2024,March,Sport,Spalding NBA Street Basketball,6, $25 , $150 ,Asia,Credit Card
10085,25/03/2024,March,Electronic,Ring Video Doorbell,1, $100 , $100 ,North America,Credit Card
10086,26/03/2024,March,Home Appliances,LG OLED TV,2," $1,300 "," $2,600 ",Europe,PayPal
10087,27/03/2024,March,Clothing,Uniqlo Ultra Light Down Jacket,3, $80 , $240 ,Asia,Debit Card
10088,28/03/2024,March,Book,The Catcher in the Rye by J.D. Salinger,4, $14 , $56 ,North America,Credit Card
10089,29/03/2024,March,Beauty Products,Sunday Riley Good Genes,1, $105 , $105 ,Europe,PayPal
10090,30/03/2024,March,Sport,On Running Cloud Shoes,2, $130 , $260 ,Asia,Credit Card
10091,31/03/2024,March,Electronic,Logitech MX Master 3 Mouse,2, $100 , $200 ,North America,Credit Card
10092,01/04/2024,April,Home Appliances,Instant Pot Duo Crisp,1, $180 , $180 ,Europe,PayPal
10093,02/04/2024,April,Clothing,Adidas Originals Superstar Sneakers,4, $80 , $320 ,Asia,Debit Card
10094,03/04/2024,April,Book,The Alchemist by Paulo Coelho,3, $15 , $45 ,North America,Credit Card
10095,04/04/2024,April,Beauty Products,Tatcha The Water Cream,1, $68 , $68 ,Europe,PayPal
10096,05/04/2024,April,Sport,Garmin Fenix 6X Pro,1," $1,000 "," $1,000 ",Asia,Credit Card
10097,06/04/2024,April,Electronic,Bose SoundLink Revolve+ Speaker,3, $300 , $900 ,North America,Credit Card
10098,07/04/2024,April,Home Appliances,Vitamix Explorian Blender,1, $350 , $350 ,Europe,PayPal
10099,08/04/2024,April,Clothing,Gap Essential Crewneck T-Shirt,6, $20 , $120 ,Asia,Debit Card
10100,09/04/2024,April,Book,The Power of Now by Eckhart Tolle,2, $13 , $26 ,North America,Credit Card
10101,10/04/2024,April,Beauty Products,Kiehl's Midnight Recovery Concentrate,1, $82 , $82 ,Europe,PayPal
10102,11/04/2024,April,Sport,Under Armour HOVR Sonic 4 Shoes,2, $110 , $220 ,Asia,Credit Card
10103,12/04/2024,April,Electronic,Canon EOS R5 Camera,1," $3,900 "," $3,900 ",North America,Credit Card
10104,13/04/2024,April,Home Appliances,Shark IQ Robot Vacuum,2, $350 , $700 ,Europe,PayPal
10105,14/04/2024,April,Clothing,H&M Slim Fit Jeans,3, $40 , $120 ,Asia,Debit Card
10106,15/04/2024,April,Book,The Girl on the Train by Paula Hawkins,4, $11 , $44 ,North America,Credit Card
10107,16/04/2024,April,Beauty Products,The Ordinary Niacinamide Serum,1, $7 , $7 ,Europe,PayPal
10108,17/04/2024,April,Sport,Bowflex SelectTech 552 Dumbbells,1, $400 , $400 ,Asia,Credit Card
10109,18/04/2024,April,Electronic,Google Nest Hub Max,2, $230 , $460 ,North America,Credit Card
10110,19/04/2024,April,Home Appliances,Cuisinart Griddler Deluxe,1, $160 , $160 ,Europe,PayPal
10111,20/04/2024,April,Clothing,Old Navy Relaxed-Fit T-Shirt,4, $15 , $60 ,Asia,Debit Card
10112,21/04/2024,April,Book,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2, $19 , $38 ,North America,Credit Card
10113,22/04/2024,April,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1, $15 , $15 ,Europe,PayPal
10114,23/04/2024,April,Sport,Fitbit Versa 3,3, $230 , $690 ,Asia,Credit Card
10115,24/04/2024,April,Electronic,Amazon Echo Show 10,1, $250 , $250 ,North America,Credit Card
10116,25/04/2024,April,Home Appliances,Breville Smart Grill,2, $300 , $600 ,Europe,PayPal
10117,26/04/2024,April,Clothing,Gap High Rise Skinny Jeans,3, $50 , $150 ,Asia,Debit Card
10118,27/04/2024,April,Book,Atomic Habits by James Clear,4, $17 , $68 ,North America,Credit Card
10119,28/04/2024,April,Beauty Products,CeraVe Hydrating Facial Cleanser,2, $15 , $30 ,Europe,PayPal
10120,29/04/2024,April,Sport,YETI Hopper Flip Portable Cooler,1, $250 , $250 ,Asia,Credit Card
10121,30/04/2024,April,Electronic,Apple iPad Air,2, $600 ," $1,200 ",North America,Credit Card
10122,01/05/2024,May,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1, $90 , $90 ,Europe,PayPal
10123,02/05/2024,May,Clothing,Forever 21 Graphic Tee,5, $13 , $65 ,Asia,Debit Card
10124,03/05/2024,May,Book,The Subtle Art of Not Giving a F*ck by Mark Manson,3, $15 , $45 ,North America,Credit Card
10125,04/05/2024,May,Beauty Products,NARS Radiant Creamy Concealer,1, $30 , $30 ,Europe,PayPal
10126,05/05/2024,May,Sport,Yeti Roadie 24 Cooler,1, $200 , $200 ,Asia,Credit Card
10127,06/05/2024,May,Electronic,Sony PlayStation 5,1, $500 , $500 ,North America,Credit Card
10128,07/05/2024,May,Home Appliances,Dyson Supersonic Hair Dryer,2, $400 , $800 ,Europe,PayPal
10129,08/05/2024,May,Clothing,Lululemon Align Leggings,3, $98 , $294 ,Asia,Debit Card
10130,09/05/2024,May,Book,The Four Agreements by Don Miguel Ruiz,2, $9 , $18 ,North America,Credit Card
10131,10/05/2024,May,Beauty Products,Fenty Beauty Killawatt Highlighter,1, $36 , $36 ,Europe,PayPal
10132,11/05/2024,May,Sport,Hydro Flask Wide Mouth Water Bottle,4, $40 , $160 ,Asia,Credit Card
10133,12/05/2024,May,Electronic,Microsoft Surface Laptop 4,1," $1,300 "," $1,300 ",North America,Credit Card
10134,13/05/2024,May,Home Appliances,Keurig K-Mini Coffee Maker,2, $80 , $160 ,Europe,PayPal
10135,14/05/2024,May,Clothing,Gap Crewneck Sweatshirt,4, $35 , $140 ,Asia,Debit Card
10136,15/05/2024,May,Book,Think and Grow Rich by Napoleon Hill,3, $10 , $30 ,North America,Credit Card
10137,16/05/2024,May,Beauty Products,The Ordinary Hyaluronic Acid Serum,1, $7 , $7 ,Europe,PayPal
10138,17/05/2024,May,Sport,Fitbit Inspire 2,2, $100 , $200 ,Asia,Credit Card
10139,18/05/2024,May,Electronic,Samsung Odyssey G9 Gaming Monitor,1," $1,500 "," $1,500 ",North America,Credit Card
10140,19/05/2024,May,Home Appliances,Instant Pot Ultra,1, $140 , $140 ,Europe,PayPal
10141,20/05/2024,May,Clothing,Adidas Essential Track Pants,3, $45 , $135 ,Asia,Debit Card
10142,21/05/2024,May,Book,The Power of Habit by Charles Duhigg,2, $12 , $24 ,North America,Credit Card
10143,22/05/2024,May,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1, $30 , $30 ,Europe,PayPal
10144,23/05/2024,May,Sport,YETI Tundra 45 Cooler,1, $300 , $300 ,Asia,Credit Card
10145,24/05/2024,May,Electronic,Apple AirPods Max,1, $549 , $549 ,North America,Credit Card
10146,25/05/2024,May,Home Appliances,Cuisinart Coffee Center,2, $200 , $400 ,Europe,PayPal
10147,26/05/2024,May,Clothing,Levi's Sherpa Trucker Jacket,2, $98 , $196 ,Asia,Debit Card
10148,27/05/2024,May,Book,The Outsiders by S.E. Hinton,3, $11 , $33 ,North America,Credit Card
10149,28/05/2024,May,Beauty Products,Laneige Water Sleeping Mask,1, $25 , $25 ,Europe,PayPal
10150,29/05/2024,May,Sport,Bose SoundSport Wireless Earbuds,2, $150 , $300 ,Asia,Credit Card
10151,30/05/2024,May,Electronic,Sony WH-1000XM4 Headphones,1, $350 , $350 ,North America,Credit Card
10152,31/05/2024,May,Home Appliances,Ninja Foodi Pressure Cooker,2, $200 , $400 ,Europe,PayPal
10153,01/06/2024,June,Clothing,Nike Sportswear Club Fleece Hoodie,3, $55 , $165 ,Asia,Debit Card
10154,02/06/2024,June,Book,The Night Circus by Erin Morgenstern,2, $17 , $34 ,North America,Credit Card
10155,03/06/2024,June,Beauty Products,GlamGlow Supermud Clearing Treatment,1, $59 , $59 ,Europe,PayPal
10156,04/06/2024,June,Sport,Garmin Forerunner 245,1, $300 , $300 ,Asia,Credit Card
10157,05/06/2024,June,Electronic,Google Pixel 6 Pro,1, $900 , $900 ,North America,Credit Card
10158,06/06/2024,June,Home Appliances,Breville Nespresso Creatista Plus,1, $500 , $500 ,Europe,PayPal
10159,07/06/2024,June,Clothing,Under Armour Tech 2.0 T-Shirt,4, $25 , $100 ,Asia,Debit Card
10160,08/06/2024,June,Book,The Art of War by Sun Tzu,3, $8 , $24 ,North America,Credit Card
10161,09/06/2024,June,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1, $36 , $36 ,Europe,PayPal
10162,10/06/2024,June,Sport,TriggerPoint GRID Foam Roller,2, $35 , $70 ,Asia,Credit Card
10163,11/06/2024,June,Electronic,Apple MacBook Air,1," $1,200 "," $1,200 ",North America,Credit Card
10164,12/06/2024,June,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1, $200 , $200 ,Europe,PayPal
10165,13/06/2024,June,Clothing,Adidas 3-Stripes Shorts,5, $30 , $150 ,Asia,Debit Card
10166,14/06/2024,June,Book,The Hunger Games by Suzanne Collins,4, $9 , $36 ,North America,Credit Card
10167,15/06/2024,June,Beauty Products,Neutrogena Hydro Boost Water Gel,1, $17 , $17 ,Europe,PayPal
10168,16/06/2024,June,Sport,Yeti Rambler Bottle,3, $50 , $150 ,Asia,Credit Card
10169,17/06/2024,June,Electronic,Samsung Odyssey G7 Gaming Monitor,1, $700 , $700 ,North America,Credit Card
10170,18/06/2024,June,Home Appliances,Instant Pot Duo Evo Plus,2, $140 , $280 ,Europe,PayPal
10171,19/06/2024,June,Clothing,Nike Tempo Running Shorts,3, $35 , $105 ,Asia,Debit Card
10172,20/06/2024,June,Book,The Girl with the Dragon Tattoo by Stieg Larsson,2, $10 , $20 ,North America,Credit Card
10173,21/06/2024,June,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1, $30 , $30 ,Europe,PayPal
10174,22/06/2024,June,Sport,Bowflex SelectTech 1090 Adjustable Dumbbells,1, $700 , $700 ,Asia,Credit Card
10175,23/06/2024,June,Electronic,Amazon Fire TV Stick 4K,3, $50 , $150 ,North America,Credit Card
10176,24/06/2024,June,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2, $50 , $100 ,Europe,PayPal
10177,25/06/2024,June,Clothing,Uniqlo Airism Mesh Boxer Briefs,4, $15 , $60 ,Asia,Debit Card
10178,26/06/2024,June,Book,The Sun Also Rises by Ernest Hemingway,3, $12 , $36 ,North America,Credit Card
10179,27/06/2024,June,Beauty Products,First Aid Beauty Ultra Repair Cream,2, $34 , $68 ,Europe,PayPal
10180,28/06/2024,June,Sport,Oakley Holbrook Sunglasses,1, $146 , $146 ,Asia,Credit Card
10181,29/06/2024,June,Electronic,Google Pixelbook Go,1, $650 , $650 ,North America,Credit Card
10182,30/06/2024,June,Home Appliances,Dyson V8 Absolute,1, $400 , $400 ,Europe,PayPal
10183,01/07/2024,July,Clothing,Levi's 511 Slim Fit Jeans,3, $60 , $180 ,Asia,Debit Card
10184,02/07/2024,July,Book,The Martian by Andy Weir,2, $13 , $26 ,North America,Credit Card
10185,03/07/2024,July,Beauty Products,La Mer Cr̬me de la Mer Moisturizer,1, $190 , $190 ,Europe,PayPal
10186,04/07/2024,July,Sport,Polar Vantage V2,1, $500 , $500 ,Asia,Credit Card
10187,05/07/2024,July,Electronic,Sonos Beam Soundbar,1, $399 , $399 ,North America,Credit Card
10188,06/07/2024,July,Home Appliances,Anova Precision Cooker,2, $199 , $398 ,Europe,PayPal
10189,07/07/2024,July,Clothing,Nike Dri-FIT Training Shorts,4, $35 , $140 ,Asia,Debit Card
10190,08/07/2024,July,Book,The Catcher in the Rye by J.D. Salinger,3, $11 , $33 ,North America,Credit Card
10191,09/07/2024,July,Beauty Products,Glossier Cloud Paint,1, $18 , $18 ,Europe,PayPal
10192,10/07/2024,July,Sport,TRX All-in-One Suspension Training System,1, $170 , $170 ,Asia,Credit Card
10193,11/07/2024,July,Electronic,Logitech G Pro X Wireless Gaming Headset,1, $200 , $200 ,North America,Credit Card
10194,12/07/2024,July,Home Appliances,Breville Smart Coffee Grinder Pro,1, $200 , $200 ,Europe,PayPal
10195,13/07/2024,July,Clothing,Adidas Ultraboost Running Shoes,2, $180 , $360 ,Asia,Debit Card
10196,14/07/2024,July,Book,The Road by Cormac McCarthy,2, $12 , $24 ,North America,Credit Card
10197,15/07/2024,July,Beauty Products,Tom Ford Black Orchid Perfume,1, $125 , $125 ,Europe,PayPal
10198,16/07/2024,July,Sport,GoPro HERO9 Black,1, $450 , $450 ,Asia,Credit Card
10199,17/07/2024,July,Electronic,Apple TV 4K,2, $179 , $358 ,North America,Credit Card
10200,18/07/2024,July,Home Appliances,Instant Pot Duo Nova,1, $100 , $100 ,Europe,PayPal
10201,19/07/2024,July,Clothing,Gap 1969 Original Fit Jeans,3, $60 , $180 ,Asia,Debit Card
10202,20/07/2024,July,Book,The Goldfinch by Donna Tartt,2, $15 , $30 ,North America,Credit Card
10203,21/07/2024,July,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1, $52 , $52 ,Europe,PayPal
10204,22/07/2024,July,Sport,Yeti Tundra Haul Portable Wheeled Cooler,1, $400 , $400 ,Asia,Credit Card
10205,23/07/2024,July,Electronic,Samsung Galaxy Watch 4,1, $300 , $300 ,North America,Credit Card
10206,24/07/2024,July,Home Appliances,KitchenAid Stand Mixer,1, $380 , $380 ,Europe,PayPal
10207,25/07/2024,July,Clothing,Lululemon Wunder Under High-Rise Leggings,2, $98 , $196 ,Asia,Debit Card
10208,26/07/2024,July,Book,The Great Alone by Kristin Hannah,3, $17 , $51 ,North America,Credit Card
10209,27/07/2024,July,Beauty Products,Caudalie Vinoperfect Radiance Serum,1, $79 , $79 ,Europe,PayPal
10210,28/07/2024,July,Sport,Bose SoundLink Color Bluetooth Speaker II,1, $129 , $129 ,Asia,Credit Card
10211,29/07/2024,July,Electronic,Canon EOS Rebel T7i DSLR Camera,1, $750 , $750 ,North America,Credit Card
10212,30/07/2024,July,Home Appliances,Keurig K-Elite Coffee Maker,2, $170 , $340 ,Europe,PayPal
10213,31/07/2024,July,Clothing,Uniqlo Airism Seamless Boxer Briefs,4, $10 , $40 ,Asia,Debit Card
10214,01/08/2024,August,Book,The Girl with the Dragon Tattoo by Stieg Larsson,3, $11 , $33 ,North America,Credit Card
10215,02/08/2024,August,Beauty Products,L'Occitane Shea Butter Hand Cream,2, $29 , $58 ,Europe,PayPal
10216,03/08/2024,August,Sport,YETI Tundra 65 Cooler,1, $350 , $350 ,Asia,Credit Card
10217,04/08/2024,August,Electronic,Apple MacBook Pro 16-inch,1," $2,399 "," $2,399 ",North America,Credit Card
10218,05/08/2024,August,Home Appliances,iRobot Braava Jet M6,1, $450 , $450 ,Europe,PayPal
10219,06/08/2024,August,Clothing,Champion Reverse Weave Hoodie,3, $50 , $150 ,Asia,Debit Card
10220,07/08/2024,August,Book,The Nightingale by Kristin Hannah,2, $13 , $26 ,North America,Credit Card
10221,08/08/2024,August,Beauty Products,Tarte Shape Tape Concealer,1, $27 , $27 ,Europe,PayPal
10222,09/08/2024,August,Sport,Garmin Forerunner 945,1, $600 , $600 ,Asia,Credit Card
10223,10/08/2024,August,Electronic,Amazon Echo Dot (4th Gen),4, $50 , $200 ,North America,Credit Card
10224,11/08/2024,August,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2, $230 , $460 ,Europe,PayPal
10225,12/08/2024,August,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2, $45 , $90 ,Asia,Debit Card
10226,13/08/2024,August,Book,The Silent Patient by Alex Michaelides,3, $27 , $81 ,North America,Credit Card
10227,14/08/2024,August,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1, $7 , $7 ,Europe,PayPal
10228,15/08/2024,August,Sport,Fitbit Luxe,2, $150 , $300 ,Asia,Credit Card
10229,16/08/2024,August,Electronic,Google Nest Wifi Router,1, $169 , $169 ,North America,Credit Card
10230,17/08/2024,August,Home Appliances,Anova Precision Oven,1, $599 , $599 ,Europe,PayPal
10231,18/08/2024,August,Clothing,Adidas Originals Trefoil Hoodie,4, $65 , $260 ,Asia,Debit Card
10232,19/08/2024,August,Book,Dune by Frank Herbert,2, $10 , $20 ,North America,Credit Card
10233,20/08/2024,August,Beauty Products,Fresh Sugar Lip Treatment,1, $24 , $24 ,Europe,PayPal
10234,21/08/2024,August,Sport,Hydro Flask Standard Mouth Water Bottle,3, $33 , $99 ,Asia,Credit Card
10235,22/08/2024,August,Electronic,Bose QuietComfort 35 II Wireless Headphones,1, $299 , $299 ,North America,Credit Card
10236,23/08/2024,August,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1, $160 , $160 ,Europe,PayPal
10237,24/08/2024,August,Clothing,Nike Air Force 1 Sneakers,3, $90 , $270 ,Asia,Debit Card
10238,25/08/2024,August,Book,The Handmaid's Tale by Margaret Atwood,3, $11 , $33 ,North America,Credit Card
10239,26/08/2024,August,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1, $55 , $55 ,Europe,PayPal
10240,27/08/2024,August,Sport,Yeti Rambler 20 oz Tumbler,2, $30 , $60 ,Asia,Credit Card
